
Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:18:55 2025
Timers Off: Sun Dec  7 11:27:41 2025

Wall Time:      525.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     15.283u      0.233s      2.353w      7 calls
build grid                          :      9.550u      0.067s      1.444w      7 calls
post-process grid                   :      5.733u      0.167s      0.909w      7 calls
DFH: sparsity prep                  :      0.250u      0.000s      0.144w      7 calls
Libint2ERI::Libint2ERI              :      0.717u      0.017s      0.184w     42 calls
DFH: initialize()                   :     12.850u      0.650s      2.040w      7 calls
DFH: AO Construction                :      3.433u      0.167s      0.543w      7 calls
DFH: AO-Met. Contraction            :      3.567u      0.267s      0.570w      7 calls
HF: Form core H                     :      0.217u      0.017s      0.037w      7 calls
HF: Form S/X                        :      0.117u      0.000s      0.015w      7 calls
HF: Guess                           :      1.217u      0.083s      0.192w      7 calls
SAD Guess                           :      1.150u      0.083s      0.186w      7 calls
HF: Form G                          :    133.417u      1.400s     20.209w     89 calls
RV: Form V                          :    119.100u      0.067s     17.845w     89 calls
Properties                          :     20.550p                         259657 calls
Functional                          :     12.445p                         259657 calls
V_xc                                :     38.079p                         259657 calls
JK: D                               :      0.033u      0.000s      0.004w     89 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     89 calls
JK: JK                              :     14.133u      1.333s      2.341w     89 calls
DFH: compute_JK()                   :     14.067u      1.333s      2.337w     89 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     89 calls
DFH: compute_J                      :      2.133u      0.000s      0.312w     89 calls
DFH: compute_K                      :      7.183u      0.017s      1.107w     89 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     89 calls
HF: Form F                          :      0.017u      0.000s      0.004w     89 calls
HF: Form D                          :      0.000u      0.000s      0.003w     89 calls
HF: DIIS                            :      2.050u      0.150s      0.330w     82 calls
HF: Form C                          :      1.133u      0.000s      0.171w     82 calls

--------------------------------------------------------------------------------------
V: Grid                             :     15.283u      0.233s      2.353w      7 calls
| build grid                        :      9.550u      0.067s      1.444w      7 calls
| post-process grid                 :      5.733u      0.167s      0.909w      7 calls
DFH: sparsity prep                  :      0.250u      0.000s      0.144w      7 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.095w      7 calls
DFH: initialize()                   :     12.850u      0.650s      2.040w      7 calls
